Category,Color,Discount,Frequency of Purchases,Gender,Item,Location,Payment Method,Season,Shipping Type,Size,Subscription Status,Age,Customer,Previous Purchases,Review Rating,Sales (USD)
Clothing,Purple,Yes,Fortnightly,Male,Sweater,Ohio,Card,Fall,Store Pickup,L,Yes,27,610,0,4.6,41.11
Clothing,Charcoal,Yes,Monthly,Male,Shorts,Oklahoma,Cash,Summer,Courier,M,No,28,611,2,2.5,76.97
Accessories,Black,Yes,Monthly,Male,Scarf,California,Cash,Winter,Store Pickup,M,Yes,43,612,4,4.7,18.27
Accessories,Lavender,Yes,Quarterly,Male,Hat,New Hampshire,Card,Fall,Courier,L,Yes,31,613,1,4.6,27.61
Outerwear,Lavender,Yes,Weekly,Male,Coat,Pennsylvania,Cash,Fall,Courier,L,No,36,614,0,2.6,37.06
Accessories,Lavender,Yes,Weekly,Male,Jewelry,Idaho,Card,Winter,Courier,M,Yes,30,615,3,4,129.25
Footwear,Olive,Yes,Fortnightly,Male,Sandals,Maryland,Card,Summer,Store Pickup,L,No,31,616,3,2.6,899.82
Accessories,Teal,Yes,Monthly,Male,Gloves,Pennsylvania,Card,Spring,Courier,L,Yes,29,617,0,4.6,76.93
Accessories,Maroon,Yes,Quarterly,Male,Backpack,Colorado,Cash,Fall,Courier,M,No,50,618,1,2.6,45.62
Outerwear,Cyan,Yes,Weekly,Male,Jacket,Indiana,Card,Spring,Courier,L,Yes,36,619,3,4,220.3
Accessories,Charcoal,Yes,Monthly,Male,Backpack,Nebraska,Card,Summer,Store Pickup,M,Yes,19,620,0,4.6,19.09
Accessories,Black,Yes,Monthly,Male,Backpack,Rhode Island,Card,Fall,Courier,M,No,33,621,1,3.7,156.35
Accessories,Red,Yes,Weekly,Male,Sunglasses,Kansas,Card,Fall,Store Pickup,S,No,27,622,0,4.4,13.59
Clothing,Peach,Yes,Fortnightly,Male,Socks,Georgia,Cash,Spring,Store Pickup,S,No,33,623,0,4,56
Footwear,White,Yes,Weekly,Male,Shoes,Nevada,Card,Fall,Courier,M,Yes,19,624,0,4.7,71.57
Clothing,Pink,Yes,Fortnightly,Male,Pants,South Carolina,Card,Fall,Courier,XL,No,55,625,3,3.4,140.73
Accessories,Red,Yes,Weekly,Male,Jewelry,Delaware,Card,Fall,Store Pickup,M,Yes,49,626,0,4,99.66
Accessories,Indigo,Yes,Fortnightly,Male,Sunglasses,New Hampshire,Card,Spring,Courier,M,No,31,627,1,3.9,99.61
Accessories,Magenta,Yes,Fortnightly,Male,Gloves,Florida,Cash,Spring,Store Pickup,M,No,34,627,8,3.9,24.57
Footwear,Black,Yes,Monthly,Male,Sandals,Oregon,Card,Winter,Courier,L,No,22,628,2,4.1,28.75
Clothing,White,Yes,Monthly,Male,Sweater,Massachusetts,Card,Fall,Courier,M,No,33,629,1,3.7,129.16
Footwear,Beige,Yes,Fortnightly,Male,Shoes,Vermont,Card,Spring,Courier,L,Yes,26,630,1,4.7,166.73
Accessories,Silver,Yes,Fortnightly,Male,Jewelry,Mississippi,Card,Fall,Courier,S,Yes,41,631,1,4.3,219.97
Footwear,Violet,Yes,Fortnightly,Male,Boots,Washington,Cash,Summer,Store Pickup,S,No,55,632,2,4.1,67
Accessories,Red,Yes,Fortnightly,Male,Backpack,Wyoming,Card,Winter,Store Pickup,M,No,35,633,4,3.9,37.05
Footwear,Orange,Yes,Quarterly,Male,Sandals,Minnesota,Card,Spring,Courier,M,No,66,634,0,2.9,18.27
Footwear,Teal,Yes,Weekly,Male,Sneakers,Ohio,Card,Summer,Courier,M,No,36,635,0,3.9,50.6
Clothing,Brown,Yes,Quarterly,Male,Hoodie,South Carolina,Cash,Fall,Courier,M,No,27,636,2,4.3,48.82
Accessories,Indigo,Yes,Monthly,Male,Handbag,Wisconsin,Cash,Summer,Store Pickup,M,No,41,637,6,2.8,15.79
Clothing,Cyan,Yes,Fortnightly,Male,Sweater,Tennessee,Cash,Winter,Courier,M,No,21,638,0,3.4,9.1
Footwear,Blue,Yes,Monthly,Male,Sandals,Maryland,Card,Summer,Courier,S,No,28,639,0,2.7,9.1
Clothing,Olive,Yes,Fortnightly,Male,Dress,Mississippi,Card,Spring,Courier,L,No,21,640,0,4,11.57
Clothing,Gray,Yes,Fortnightly,Male,Skirt,Minnesota,Card,Summer,Store Pickup,M,Yes,28,641,2,4.4,147.46
Clothing,Red,Yes,Monthly,Male,Blouse,Alaska,Card,Winter,Courier,M,No,33,642,3,3.9,95.75
Clothing,Red,Yes,Weekly,Male,Skirt,Arkansas,Card,Spring,Courier,L,No,64,643,6,2.8,12.25
Clothing,Green,Yes,Monthly,Male,Sweater,Oregon,Cash,Winter,Store Pickup,XL,No,18,644,9,3.2,45.6
Accessories,Blue,Yes,Weekly,Male,Backpack,Louisiana,Cash,Summer,Store Pickup,S,Yes,30,645,0,4.3,201.57
Clothing,Purple,Yes,Weekly,Male,Hoodie,Oklahoma,Card,Summer,Courier,S,No,25,646,5,4.2,26.61
Footwear,Pink,Yes,Weekly,Male,Boots,Indiana,Card,Spring,Courier,XL,Yes,27,647,4,4.9,41.09
Clothing,Charcoal,Yes,Fortnightly,Male,Blouse,Mississippi,Card,Summer,Courier,XL,No,21,648,3,3.7,71.54
Clothing,Brown,Yes,Weekly,Male,Hoodie,Michigan,Card,Winter,Store Pickup,M,No,22,649,0,4.1,16.58
Clothing,Orange,Yes,Monthly,Male,Pants,Delaware,Card,Spring,Store Pickup,L,Yes,28,650,1,4.2,201.31
Accessories,Yellow,Yes,Fortnightly,Male,Hat,Arkansas,Card,Summer,Store Pickup,L,No,32,652,0,2.9,17.42
Accessories,Beige,Yes,Weekly,Male,Sunglasses,Minnesota,Card,Winter,Courier,M,No,64,653,2,3.1,13.59
Accessories,Olive,Yes,Fortnightly,Male,Scarf,North Dakota,Cash,Winter,Courier,M,No,20,654,0,3.6,66.97
Accessories,Gray,Yes,Fortnightly,Male,Handbag,California,Card,Summer,Courier,L,Yes,24,655,3,4.4,48.8
Accessories,Purple,Yes,Monthly,Male,Handbag,Mississippi,Card,Fall,Courier,S,No,20,656,4,3.1,20.87
Clothing,Beige,Yes,Quarterly,Male,Jeans,Pennsylvania,Card,Summer,Courier,M,No,22,657,5,3.9,10.93
Outerwear,White,Yes,Quarterly,Male,Jacket,Arizona,Card,Winter,Courier,M,Yes,48,658,5,4.3,103.82
Accessories,White,Yes,Weekly,Male,Backpack,Louisiana,Card,Fall,Store Pickup,S,Yes,25,659,3,4.9,21.78
Clothing,Gold,Yes,Weekly,Male,Shorts,Virginia,Cash,Spring,Courier,S,No,25,660,7,3.6,38.42
Outerwear,Olive,Yes,Quarterly,Male,Coat,Montana,Card,Fall,Courier,M,Yes,50,661,0,5,99.55
Clothing,Green,Yes,Quarterly,Male,Shirt,Iowa,Card,Fall,Store Pickup,XL,No,24,662,0,4.1,66.94
Accessories,Magenta,Yes,Weekly,Male,Gloves,Illinois,Card,Fall,Courier,L,No,24,663,0,2.8,390.2
Clothing,Charcoal,Yes,Monthly,Male,Dress,Alaska,Card,Fall,Courier,M,Yes,54,664,3,4.7,118.61
Clothing,Indigo,Yes,Weekly,Male,Pants,Colorado,Card,Winter,Courier,M,Yes,34,665,0,4.4,118.54
Clothing,Peach,Yes,Fortnightly,Male,Pants,New Mexico,Card,Spring,Courier,M,Yes,41,666,0,4.9,42.27
Clothing,Turquoise,Yes,Quarterly,Male,Hoodie,Colorado,Card,Winter,Courier,L,No,35,667,1,3.1,12.92
Accessories,Blue,Yes,Quarterly,Male,Sunglasses,Arizona,Cash,Winter,Courier,S,No,34,668,1,2.6,88.69
Clothing,Turquoise,Yes,Monthly,Male,T-shirt,Hawaii,Cash,Fall,Courier,S,No,49,669,0,2.9,129.06
Outerwear,Gray,Yes,Weekly,Male,Jacket,Illinois,Card,Spring,Courier,M,No,43,670,0,3.3,156.21
Clothing,Purple,Yes,Weekly,Male,Sweater,Louisiana,Cash,Spring,Store Pickup,XL,Yes,34,671,0,4.8,25.62
Outerwear,Black,Yes,Weekly,Male,Jacket,Iowa,Cash,Winter,Courier,L,Yes,38,672,0,4.7,15.79
Clothing,Peach,Yes,Quarterly,Male,Socks,Washington,Cash,Winter,Courier,M,No,54,673,1,3.3,39.81
Clothing,Indigo,Yes,Weekly,Male,Shirt,Oklahoma,Card,Spring,Courier,M,No,35,674,2,4.2,62.2
Accessories,Beige,Yes,Fortnightly,Male,Jewelry,Washington,Cash,Winter,Store Pickup,XL,Yes,48,675,0,4.7,18.26
Accessories,Yellow,Yes,Fortnightly,Male,Sunglasses,Arkansas,Cash,Spring,Courier,M,No,64,676,8,2.6,134.73
Clothing,Peach,Yes,Weekly,Male,Pants,Connecticut,Card,Winter,Courier,M,No,28,677,0,2.9,50.59
Clothing,Turquoise,Yes,Fortnightly,Male,Socks,Washington,Card,Summer,Courier,S,No,60,678,0,2.7,53.9
Clothing,Teal,Yes,Monthly,Male,Blouse,Maine,Card,Fall,Store Pickup,M,No,27,679,2,3.3,82.61
Footwear,Turquoise,Yes,Fortnightly,Male,Sandals,Michigan,Card,Fall,Courier,M,No,56,680,0,3.4,244.01
Footwear,Magenta,Yes,Fortnightly,Male,Sneakers,Tennessee,Card,Spring,Courier,M,No,43,681,2,4.2,12.25
Clothing,Purple,Yes,Monthly,Male,Shirt,Louisiana,Card,Winter,Courier,XL,No,30,682,2,3.8,48.78
Outerwear,Brown,Yes,Weekly,Male,Jacket,Missouri,Card,Summer,Courier,M,No,23,683,0,4,15.03
Footwear,Violet,Yes,Monthly,Male,Sandals,Michigan,Cash,Winter,Courier,S,No,33,684,2,2.7,20.86
Accessories,Yellow,Yes,Monthly,Male,Hat,Alabama,Card,Summer,Courier,M,Yes,34,685,0,4.7,113.42
Clothing,Magenta,Yes,Fortnightly,Male,Blouse,Massachusetts,Cash,Winter,Courier,XL,No,70,686,1,3.5,74.36
Clothing,Beige,Yes,Fortnightly,Male,Sweater,Indiana,Card,Fall,Courier,L,No,70,687,1,3,19.92
Accessories,Turquoise,Yes,Quarterly,Male,Gloves,West Virginia,Cash,Winter,Courier,XL,No,19,688,0,3.3,22.73
Accessories,Peach,Yes,Monthly,Male,Scarf,Michigan,Card,Summer,Store Pickup,S,Yes,25,689,0,4.7,48.76
Clothing,Orange,Yes,Monthly,Male,Hoodie,Pennsylvania,Card,Summer,Courier,M,Yes,19,690,0,4.7,178.3
Clothing,Red,Yes,Weekly,Male,Shorts,Alaska,Cash,Spring,Courier,XL,Yes,25,691,0,4.8,66.91
Accessories,Silver,Yes,Weekly,Male,Backpack,Massachusetts,Card,Summer,Courier,L,No,60,692,0,2.9,9.7
Accessories,Cyan,Yes,Monthly,Male,Sunglasses,North Dakota,Card,Spring,Courier,M,Yes,35,693,0,4,243.57
Clothing,Turquoise,Yes,Monthly,Male,Shorts,Vermont,Cash,Spring,Courier,L,No,26,694,1,3.1,38.4
Clothing,Charcoal,Yes,Monthly,Male,Dress,Kentucky,Card,Fall,Courier,S,No,41,695,0,3.5,9.7
Clothing,Peach,Yes,Monthly,Male,Shorts,Nevada,Card,Summer,Store Pickup,XL,No,30,696,5,3.7,64.34
Accessories,Green,Yes,Monthly,Male,Belt,Utah,Cash,Fall,Courier,L,No,24,697,0,2.8,26.6
Accessories,Brown,Yes,Quarterly,Male,Scarf,North Dakota,Card,Summer,Courier,XL,Yes,36,698,0,4.6,55.98
Footwear,Yellow,Yes,Weekly,Male,Boots,Iowa,Card,Winter,Courier,M,No,55,699,0,3.8,25.61
Accessories,Charcoal,Yes,Weekly,Male,Handbag,Connecticut,Card,Fall,Courier,M,No,50,700,4,2.6,30.96
Clothing,Olive,Yes,Monthly,Male,Pants,Wisconsin,Card,Winter,Courier,L,Yes,24,701,4,4.1,99.49
Footwear,Red,Yes,Monthly,Male,Boots,Idaho,Card,Fall,Store Pickup,L,No,27,702,4,3.3,166.57
Clothing,White,Yes,Weekly,Male,Shirt,Montana,Cash,Winter,Store Pickup,M,No,18,703,0,3.4,74.33
Clothing,Pink,Yes,Weekly,Male,Dress,Connecticut,Card,Summer,Courier,L,No,34,704,3,3,140.61
Clothing,Black,Yes,Fortnightly,Male,Hoodie,Idaho,Card,Spring,Courier,S,No,34,705,4,3.2,62.17
Clothing,Indigo,Yes,Quarterly,Male,Pants,Arkansas,Cash,Summer,Courier,XL,Yes,25,706,0,4.5,166.4
Clothing,Turquoise,Yes,Weekly,Male,Jeans,Iowa,Card,Summer,Courier,L,Yes,26,707,2,4.8,32.06
Clothing,Purple,Yes,Fortnightly,Male,Shirt,Louisiana,Card,Spring,Store Pickup,L,No,54,708,3,3.7,22.72
Accessories,Beige,Yes,Fortnightly,Male,Backpack,Kentucky,Cash,Summer,Store Pickup,L,No,37,709,4,3.4,35.63
Outerwear,Charcoal,Yes,Monthly,Male,Jacket,Massachusetts,Card,Summer,Courier,L,Yes,49,710,3,4.6,99.44
Accessories,Turquoise,Yes,Fortnightly,Male,Scarf,Virginia,Card,Spring,Courier,L,Yes,22,711,2,4.1,178.11
Footwear,Maroon,Yes,Weekly,Male,Boots,New Hampshire,Cash,Spring,Courier,M,No,64,712,6,3.5,50.57
Clothing,Black,Yes,Quarterly,Male,Blouse,New Hampshire,Cash,Summer,Store Pickup,XL,No,22,713,0,3.8,108.19
Clothing,Lavender,Yes,Weekly,Male,Hoodie,Oregon,Cash,Summer,Courier,M,No,37,714,0,2.6,166.24
Outerwear,Magenta,Yes,Fortnightly,Male,Jacket,South Dakota,Card,Fall,Store Pickup,M,Yes,26,715,0,4.4,71.27
Clothing,Green,Yes,Quarterly,Male,Jeans,Delaware,Card,Spring,Courier,L,No,33,716,0,2.6,55.96
Accessories,Olive,Yes,Weekly,Male,Jewelry,Missouri,Card,Spring,Courier,M,No,30,717,2,3.6,15.02
Clothing,Green,Yes,Monthly,Male,Socks,Alaska,Card,Spring,Courier,L,Yes,21,718,6,4.2,166.07
Clothing,Peach,Yes,Fortnightly,Male,Shirt,Florida,Cash,Summer,Courier,M,Yes,22,719,2,4.6,10.28
Clothing,Turquoise,Yes,Weekly,Male,Shorts,Mississippi,Card,Summer,Store Pickup,L,No,34,720,0,3.3,10.28
Accessories,Orange,Yes,Weekly,Male,Jewelry,New Mexico,Card,Fall,Courier,L,No,33,721,4,3.4,53.88
Clothing,Silver,Yes,Monthly,Male,Blouse,California,Card,Summer,Store Pickup,L,Yes,43,722,0,4.4,45.59
Clothing,Blue,Yes,Weekly,Male,Sweater,Wyoming,Cash,Summer,Store Pickup,S,No,27,723,0,4.3,17.42
Accessories,Cyan,Yes,Monthly,Male,Jewelry,Missouri,Card,Fall,Courier,L,No,35,724,0,3.5,39.8
Clothing,Green,Yes,Monthly,Male,T-shirt,New Hampshire,Card,Fall,Store Pickup,XL,Yes,37,725,0,4.7,99.38
Accessories,Silver,Yes,Fortnightly,Male,Hat,Texas,Card,Winter,Courier,L,No,36,726,1,3.1,52.14
Clothing,Yellow,Yes,Monthly,Male,Shorts,North Dakota,Cash,Summer,Store Pickup,L,No,32,727,3,3.6,95.69
Clothing,Violet,Yes,Fortnightly,Male,T-shirt,Maryland,Card,Fall,Courier,L,No,25,727,4,3.4,243.14
Clothing,Gray,Yes,Monthly,Male,Sweater,Arkansas,Card,Winter,Store Pickup,S,Yes,25,728,0,4.8,320.95
Clothing,Pink,Yes,Monthly,Male,Jeans,Nebraska,Card,Winter,Store Pickup,M,No,29,729,8,3.7,95.64
Accessories,Beige,Yes,Monthly,Male,Sunglasses,Minnesota,Card,Summer,Courier,L,No,41,730,0,3.2,44.1
Footwear,Indigo,Yes,Fortnightly,Male,Boots,Massachusetts,Card,Summer,Courier,M,No,48,731,2,3.9,12.24
Outerwear,Red,Yes,Fortnightly,Male,Coat,Arkansas,Card,Spring,Courier,M,No,43,732,1,3.5,14.31
Clothing,Blue,Yes,Weekly,Male,Shirt,New Hampshire,Cash,Spring,Courier,L,No,34,733,2,2.8,45.57
Clothing,Cyan,Yes,Weekly,Male,Dress,Rhode Island,Card,Fall,Courier,L,No,45,734,3,2.7,20.85
Clothing,Violet,Yes,Monthly,Male,Shirt,New Jersey,Cash,Winter,Courier,S,No,28,735,0,3.1,69.03
Accessories,Orange,Yes,Weekly,Male,Sunglasses,Montana,Cash,Fall,Courier,M,No,36,736,0,3.6,33.24
Clothing,Maroon,Yes,Monthly,Male,Dress,Colorado,Card,Spring,Courier,L,No,18,737,1,2.9,47.19
Accessories,Teal,Yes,Fortnightly,Male,Sunglasses,Nebraska,Card,Spring,Store Pickup,M,No,33,738,2,3.6,11.57
Accessories,Orange,Yes,Quarterly,Male,Sunglasses,Minnesota,Card,Winter,Courier,L,No,56,739,2,3.5,16.57
Clothing,Purple,Yes,Weekly,Male,Shorts,Minnesota,Card,Summer,Courier,S,No,64,740,2,3.5,15.02
Clothing,Orange,Yes,Fortnightly,Male,Jeans,South Dakota,Card,Summer,Store Pickup,M,No,26,741,3,2.8,69
Clothing,Yellow,Yes,Monthly,Male,T-shirt,West Virginia,Cash,Summer,Courier,XL,Yes,22,742,3,4.7,99.33
Clothing,Charcoal,Yes,Quarterly,Male,Pants,Nevada,Card,Summer,Courier,M,No,64,743,3,3.1,23.6
Accessories,Gray,Yes,Weekly,Male,Sunglasses,North Carolina,Cash,Fall,Courier,L,Yes,21,744,0,4.9,123.61
Footwear,Charcoal,Yes,Weekly,Male,Boots,Illinois,Card,Spring,Store Pickup,S,No,31,745,0,4.1,62.14
Clothing,Orange,Yes,Monthly,Male,T-shirt,Michigan,Card,Fall,Courier,L,Yes,26,746,3,4.7,188.83
Footwear,Red,Yes,Fortnightly,Male,Sandals,Michigan,Card,Winter,Courier,M,No,40,747,0,2.5,29.83
Clothing,Gold,Yes,Weekly,Male,Shorts,Oklahoma,Cash,Spring,Store Pickup,L,Yes,27,748,6,4.4,82.57
Accessories,Brown,Yes,Quarterly,Male,Hat,South Dakota,Cash,Fall,Courier,L,No,35,749,7,3.9,23.59
Accessories,Olive,Yes,Quarterly,Male,Scarf,Oklahoma,Card,Winter,Courier,M,No,56,750,1,3.7,74.3
Accessories,Indigo,Yes,Monthly,Male,Gloves,Ohio,Card,Fall,Courier,L,Yes,28,752,0,4.8,76.9
Accessories,Yellow,Yes,Monthly,Male,Scarf,Ohio,Card,Fall,Courier,L,Yes,39,753,4,4.2,128.97
Footwear,Teal,Yes,Quarterly,Male,Boots,Massachusetts,Card,Fall,Store Pickup,M,No,33,754,2,3.4,41.08
Accessories,Pink,Yes,Quarterly,Male,Gloves,North Carolina,Card,Spring,Store Pickup,L,No,36,755,2,2.9,25.6
Outerwear,Violet,Yes,Weekly,Male,Coat,Florida,Card,Spring,Courier,M,No,66,756,3,3.3,11.57
Accessories,Orange,Yes,Fortnightly,Male,Belt,Montana,Cash,Summer,Courier,S,Yes,25,757,2,4.8,536.68
Clothing,Red,Yes,Quarterly,Male,Hoodie,Minnesota,Card,Fall,Store Pickup,M,No,41,758,4,3.8,17.41
Footwear,Peach,Yes,Monthly,Male,Shoes,Massachusetts,Cash,Summer,Courier,L,Yes,66,759,0,4.6,74.26
Clothing,Green,Yes,Fortnightly,Male,Dress,Rhode Island,Card,Winter,Store Pickup,XL,No,27,760,2,2.6,34.37
Accessories,Violet,Yes,Fortnightly,Male,Gloves,Minnesota,Cash,Fall,Courier,XL,No,33,761,5,3.4,35.61
Accessories,Yellow,Yes,Weekly,Male,Jewelry,Nevada,Cash,Fall,Courier,L,Yes,24,762,2,4.2,177.92
Accessories,Pink,Yes,Fortnightly,Male,Belt,New Mexico,Card,Fall,Courier,M,No,45,763,0,3.9,30.94
Clothing,Brown,Yes,Monthly,Male,Sweater,North Carolina,Card,Spring,Courier,M,No,36,764,5,2.9,35.6
Clothing,Silver,Yes,Quarterly,Male,Skirt,Virginia,Card,Fall,Courier,XL,No,55,765,5,4.2,23.59
Footwear,Pink,Yes,Quarterly,Male,Sneakers,Alaska,Cash,Summer,Store Pickup,M,No,21,766,6,3,531.97
Accessories,Cyan,Yes,Monthly,Male,Gloves,Nevada,Card,Winter,Store Pickup,M,No,24,767,6,3.6,33.23
Outerwear,Brown,Yes,Fortnightly,Male,Coat,Pennsylvania,Cash,Fall,Store Pickup,M,No,27,768,1,2.5,92.3
Accessories,Red,Yes,Weekly,Male,Backpack,Illinois,Card,Spring,Courier,XL,No,64,769,0,2.6,242.71
Clothing,Silver,Yes,Monthly,Male,Socks,Delaware,Card,Spring,Store Pickup,M,Yes,19,770,7,4.3,876.05
Footwear,Gray,Yes,Fortnightly,Male,Sneakers,Vermont,Card,Spring,Courier,M,No,19,771,7,3.3,41.06
Clothing,Cyan,Yes,Fortnightly,Male,Sweater,Hawaii,Cash,Fall,Store Pickup,L,No,22,772,1,2.6,66.88
Clothing,Teal,Yes,Weekly,Male,Jeans,Illinois,Card,Fall,Courier,L,No,18,773,0,3.6,10.27
Accessories,Indigo,Yes,Weekly,Male,Hat,California,Card,Winter,Courier,L,No,29,774,6,2.6,123.53
Accessories,Yellow,Yes,Quarterly,Male,Hat,Nevada,Card,Summer,Courier,M,No,22,775,9,3.5,30.93
Accessories,Gold,Yes,Monthly,Male,Handbag,Kentucky,Card,Winter,Store Pickup,S,No,49,776,7,3,39.78
Clothing,Maroon,Yes,Monthly,Male,Shirt,Alabama,Card,Spring,Courier,M,Yes,49,777,7,5,50.55
Clothing,Silver,Yes,Weekly,Male,Socks,Wyoming,Card,Spring,Courier,XL,No,55,778,0,2.5,17.41
Clothing,Yellow,Yes,Fortnightly,Male,Socks,Massachusetts,Card,Summer,Store Pickup,M,No,29,779,3,2.9,35.59
Clothing,Blue,Yes,Fortnightly,Male,Dress,Utah,Cash,Spring,Courier,M,Yes,60,780,0,4.6,219.64
Footwear,Turquoise,Yes,Quarterly,Male,Shoes,New York,Cash,Spring,Courier,M,No,34,781,0,3.6,12.92
Accessories,Indigo,Yes,Fortnightly,Male,Scarf,Vermont,Card,Winter,Store Pickup,L,No,30,782,8,3,28.74
Clothing,Green,Yes,Weekly,Male,Hoodie,Hawaii,Cash,Summer,Courier,M,Yes,28,783,5,4.5,45.56
Clothing,Purple,Yes,Fortnightly,Male,T-shirt,Louisiana,Card,Winter,Store Pickup,L,Yes,34,784,0,4.5,59.96
Clothing,Peach,Yes,Monthly,Male,Jeans,Alabama,Cash,Winter,Store Pickup,M,No,31,785,0,3.2,76.86
Clothing,Purple,Yes,Fortnightly,Male,Shorts,Louisiana,Card,Spring,Store Pickup,S,No,26,786,0,4,53.86
Accessories,Teal,Yes,Monthly,Male,Hat,Indiana,Cash,Winter,Courier,S,Yes,70,787,5,4.8,9.7
Accessories,Green,Yes,Weekly,Male,Handbag,Michigan,Card,Spring,Courier,S,No,28,788,2,3.7,128.88
Clothing,Yellow,Yes,Quarterly,Male,Pants,Rhode Island,Cash,Summer,Store Pickup,XL,No,50,789,4,3.8,37.04
Accessories,Purple,Yes,Weekly,Male,Handbag,Idaho,Card,Fall,Courier,S,No,33,790,3,2.7,123.44
Clothing,Indigo,Yes,Quarterly,Male,Sweater,Louisiana,Cash,Summer,Store Pickup,M,Yes,22,791,8,4.9,21.77
Accessories,Magenta,Yes,Fortnightly,Male,Scarf,North Carolina,Card,Summer,Courier,S,No,50,792,0,3.1,28.73
Footwear,Violet,Yes,Weekly,Male,Sneakers,New Jersey,Card,Spring,Store Pickup,M,No,34,793,0,4.2,29.82
Clothing,Maroon,Yes,Monthly,Male,Pants,Alabama,Card,Summer,Courier,L,No,24,794,5,3.8,19.91
Accessories,Yellow,Yes,Fortnightly,Male,Backpack,Kentucky,Card,Winter,Store Pickup,XL,No,33,795,9,4.2,35.58
Footwear,Beige,Yes,Fortnightly,Male,Sandals,New York,Card,Summer,Store Pickup,M,Yes,39,796,1,4.6,12.91
Clothing,Black,Yes,Fortnightly,Male,Socks,Arizona,Card,Fall,Courier,XL,No,22,797,0,4,95.59
Outerwear,Violet,Yes,Weekly,Male,Coat,Maryland,Card,Fall,Courier,M,Yes,22,798,0,4,113.35
Clothing,Violet,Yes,Monthly,Male,Socks,Alaska,Card,Spring,Courier,M,No,29,799,0,3.8,23.58
Accessories,Brown,Yes,Fortnightly,Male,Belt,Nevada,Card,Summer,Courier,L,No,55,800,1,3.3,42.5
Clothing,Gold,Yes,Monthly,Male,Socks,Utah,Cash,Summer,Courier,S,No,32,801,3,2.6,9.1
Accessories,Blue,Yes,Fortnightly,Male,Belt,New Mexico,Card,Fall,Courier,L,Yes,25,802,8,4.9,15.02
Clothing,Teal,Yes,Weekly,Male,Pants,Delaware,Cash,Winter,Store Pickup,M,No,38,803,1,3.5,25.59
Clothing,Silver,Yes,Monthly,Male,Shorts,Connecticut,Card,Winter,Courier,L,No,32,804,1,2.8,22.71
Footwear,Maroon,Yes,Quarterly,Male,Boots,Mississippi,Card,Summer,Store Pickup,M,No,43,805,2,2.6,32.05
Clothing,White,Yes,Monthly,Male,Dress,Connecticut,Card,Summer,Store Pickup,L,No,41,806,0,3.7,15.78
Clothing,Charcoal,Yes,Quarterly,Male,Jeans,Florida,Card,Summer,Courier,L,No,56,807,0,2.7,44.08
Clothing,Brown,Yes,Weekly,Male,T-shirt,New York,Card,Winter,Courier,S,No,27,808,5,3.3,156.07
Footwear,Lavender,Yes,Monthly,Male,Shoes,Wisconsin,Cash,Fall,Store Pickup,L,Yes,26,809,0,4.6,273.87
Footwear,Violet,Yes,Weekly,Male,Boots,South Carolina,Card,Fall,Store Pickup,M,Yes,48,810,1,4.9,108.12
Accessories,Lavender,Yes,Weekly,Male,Scarf,South Dakota,Card,Fall,Store Pickup,S,Yes,19,811,1,4.9,118.46
Footwear,Green,Yes,Quarterly,Male,Sneakers,Illinois,Card,Winter,Courier,M,No,18,812,0,2.7,19.91
Footwear,Olive,Yes,Weekly,Male,Boots,Alaska,Card,Summer,Courier,M,No,64,813,1,3.2,44.06
Accessories,Olive,Yes,Fortnightly,Male,Handbag,Montana,Card,Summer,Store Pickup,S,No,21,814,6,2.9,29.81
Clothing,Pink,Yes,Monthly,Male,Shirt,Minnesota,Card,Winter,Courier,M,No,31,815,7,3.8,53.84
Accessories,Teal,Yes,Weekly,Male,Hat,West Virginia,Card,Spring,Store Pickup,L,No,30,816,2,3,123.36
Clothing,Cyan,Yes,Monthly,Male,Sweater,Illinois,Card,Summer,Store Pickup,L,No,26,817,2,3.9,11.56
Accessories,Gray,Yes,Fortnightly,Male,Handbag,Nevada,Card,Spring,Store Pickup,S,Yes,25,818,1,4.7,9.7
Clothing,Peach,Yes,Monthly,Male,Shirt,Idaho,Card,Winter,Store Pickup,M,Yes,54,819,1,4.9,177.72
Accessories,Teal,Yes,Quarterly,Male,Sunglasses,Colorado,Card,Winter,Store Pickup,S,Yes,55,820,2,4.8,20.85
Footwear,Turquoise,Yes,Monthly,Male,Sneakers,Louisiana,Card,Spring,Courier,M,No,56,821,2,2.5,23.57
Clothing,Green,Yes,Weekly,Male,Hoodie,Vermont,Card,Spring,Courier,M,No,25,822,1,3.9,23.57
Clothing,Magenta,Yes,Fortnightly,Male,Shirt,Mississippi,Cash,Winter,Courier,L,No,35,823,3,3.4,48.74
Accessories,Green,Yes,Quarterly,Male,Sunglasses,Georgia,Card,Winter,Courier,M,No,27,824,9,2.5,13.59
Clothing,White,Yes,Quarterly,Male,Blouse,Georgia,Cash,Spring,Store Pickup,M,No,36,825,0,3,219.32
Accessories,Brown,Yes,Monthly,Male,Belt,Nebraska,Cash,Fall,Store Pickup,XL,Yes,27,826,4,3.6,218.99
Clothing,Purple,Yes,Weekly,Male,Dress,Massachusetts,Card,Winter,Courier,M,Yes,21,827,0,3.6,218.67
Footwear,Turquoise,Yes,Monthly,Male,Shoes,Connecticut,Card,Winter,Store Pickup,L,No,30,827,6,2.6,9.09
